#Output of PITOT3 condition builder version 15-Dec-2023
test_number,test_name,driver_condition,area_ratio,test_gas_gas_model,test_gas_name,p1,vs1,Ht,h,Ue,pitot_p,total_p,p2,T2,rho2,v2,M2,a2,gamma2,R2,Ht2,h2,p3,T3,rho3,v3,M3,a3,p5,T5,rho5,v5,M5,a5,p5d,T5d,rho5d,v5d,M5d,a5d,p8,T8,rho8,v8,M8,a8,gamma8,R8,unit_Re8,p10f,T10f,rho10f,v10f,M10f,a10f,p10e,T10e,rho10e,v10e,M10e,a10e,unit_Re10e,s2 Xe-,s2 XN-,s2 XO2+,s2 XN,s2 XN2,s2 XO+,s2 XN2O,s2 XN2+,s2 XO,s2 XO2,s2 XNO,s2 XO-,s2 XN+,s2 XNO2,s2 XNO+,s8 Xe-,s8 XN-,s8 XO2+,s8 XN,s8 XN2,s8 XO+,s8 XN2O,s8 XN2+,s8 XO,s8 XO2,s8 XNO,s8 XO-,s8 XN+,s8 XNO2,s8 XNO+,s10e Xe-,s10e XN-,s10e XO2+,s10e XN,s10e XN2,s10e XO+,s10e XN2O,s10e XN2+,s10e XO,s10e XO2,s10e XNO,s10e XO-,s10e XN+,s10e XNO2,s10e XNO+
4,HYPULSE_RST_M8_condition_builder_4,HYPULSE_RST_M8_driver_condition,175,CEAGas,n2-o2-with-ions,4281.332398719395,3193.957655754389,10852499.99993,1942890.0,4658.862522103437,50565.75181809364,4664919.393038763,452640.0,3546.7675429851884,0.4225394390259659,2817.325040057092,2.5103136773207626,1122.3,1.1047769995158199,302.0273166478986,8998419.99993,5029760.0,452639.9999999995,973.51,1.6085,2817.3237373881684,4.344369679858394,648.5,4572818.13412644,5924.774570596886,2.2712,0.0,0.0,1568.8,16406500.030562166,7051.31225628883,8.049,0.0,0.0,1683.2,1633.996117549275,1951.88,0.0029024,4221.299871878004,5.01282492801093,842.1,1.2977866610861655,288.4278627675443,179533.4429632155,45744.53026673601,8039.065081027696,0.019728606741319096,621.0270012277491,0.3644595868132337,1703.9667049449647,47630.0,5114.470228127395,0.02622687013917351,467.1507001454506,0.3201855381394453,1459.0,82554.4151212096,0.0,0.0,0.0,0.00011014783974812054,0.7229883052396353,0.0,7.390012337320053e-06,0.0,0.09156488768328813,0.12381632061202295,0.06147994401138435,0.0,0.0,4.253679438328026e-05,0.0,0.0,0.0,0.0,0.0,0.7860552624815268,0.0,0.0,0.0,0.0016252371220170756,0.2057063758640949,0.006611473377079994,0.0,0.0,1.5806586212518071e-06,0.0,0.0,0.0,0.0,0.04882241098902668,0.6110407933346185,0.0,0.0,0.0,0.32782165831218674,0.0007916368363813643,0.011421563482091975,0.0,0.0,0.0,6.340503937548037e-05
5,HYPULSE_RST_M8_condition_builder_5,HYPULSE_RST_M8_driver_condition,175,CEAGas,n2-o2-with-ions,6158.482110660267,3070.5525910844012,9988939.99993,1613560.0,4469.662179612683,64144.28426520749,5909652.515667622,598820.0,3447.410472463854,0.5828833539585979,2692.9886850881694,2.4459479428593727,1101.0,1.1175637054818264,298.0004300921114,8268959.999929999,4642870.0,598820.0000000001,1067.66,1.9403,2692.9948905604824,3.9713831154114176,678.1,5809631.4390781,5650.0748118322535,3.0861,0.0,0.0,1522.6,18298184.365785472,6691.14048755362,9.4603,0.0,0.0,1639.4,1932.405317305324,1707.71,0.0039261,4092.7651119527186,5.138437052043589,796.5,1.3031058224143308,288.21790072102056,257877.50326647892,57246.33092706736,8039.704540421765,0.024705100076662958,650.419203042002,0.37650495124155325,1727.5183258472325,60393.0,4884.074391416432,0.03534618030126795,454.606550667687,0.31732971566919377,1432.6,112706.7763627521,0.0,0.0,0.0,6.012777349411353e-05,0.7337938897099245,0.0,8.333633533881053e-06,0.0,0.0658383660637274,0.13996363988649574,0.06029017229829934,0.0,0.0,5.3612639814804755e-05,0.0,0.0,0.0,0.0,0.0,0.7884506243440638,0.0,0.0,0.0,0.00015919103666387489,0.2084165856219608,0.0029763160957272023,0.0,0.0,1.277311973568378e-06,0.0,0.0,0.0,0.0,0.025598389485032163,0.6301266026258862,0.0,7.249526842191362e-07,0.0,0.3267045207945298,0.0017661771472680227,0.015714714008151675,0.0,0.0,0.0,3.8131848728498944e-05
6,HYPULSE_RST_M8_condition_builder_6,HYPULSE_RST_M8_driver_condition,175,CEAGas,n2-o2-with-ions,8858.667904100823,2943.1753025563894,9142079.99993,1318570.0,4275.998129075831,80718.17399121838,7449281.53751923,787350.0,3325.9246070274457,0.8035609987700575,2565.554469591604,2.3788173107015336,1078.5,1.1354485385217201,294.6005031357404,7550869.99993,4259840.0,787349.9999999999,1167.9,2.3322,2565.5563235588907,3.6226437779707577,708.2,7332177.732027243,5374.720222193775,4.1851,0.0,0.0,1468.2,20246850.796761055,6347.28670739635,11.035,0.0,0.0,1597.1,2250.4242319642117,1473.62,0.005299,3955.6315947836188,5.3152802939849755,744.2,1.310156344423273,288.19792027729636,371442.8562449433,71670.35119269384,7637.195679416138,0.03256227740931085,643.7083031477454,0.3799358663650504,1694.2551628680849,76033.0,4581.704486459661,0.04811609544895524,435.6316036282517,0.3121464629035911,1395.6,155173.91042906715,0.0,0.0,0.0,2.851980423654394e-05,0.7442875009816731,0.0,9.01077859168242e-06,0.0,0.04356030613648012,0.15510002093828518,0.056958425486817676,0.0,0.0,6.52670869787308e-05,0.0,0.0,0.0,0.0,0.0,0.789452761892523,0.0,0.0,0.0,8.58932772478968e-06,0.20945885470705153,0.0010726172344956526,0.0,0.0,9.393942028670486e-07,0.0,0.0,0.0,0.0,0.010435147636488253,0.6434875752318534,0.0,1.1625988348843974e-06,0.0,0.3183279422978362,0.004876553233246247,0.02285777225297523,0.0,0.0,8.890596298268686e-07,1.8395821514548136e-05
7,HYPULSE_RST_M8_condition_builder_7,HYPULSE_RST_M8_driver_condition,175,CEAGas,n2-o2-with-ions,12742.749857031322,2811.6678494852636,8318709.999929999,1061290.0,4078.8993613302105,100762.05750436387,9346909.605469499,1028200.0,3177.9151017261142,1.108284116814621,2435.437300159066,2.310004078686395,1054.3,1.1588642000434402,291.9523157414235,6847649.99993,3881960.0,1028199.9999999998,1273.98,2.792,2435.4544765047535,3.2978395077924896,738.5,9203693.706224948,5113.450842505667,5.6525,0.0,0.0,1411.1,22220306.436387587,6022.36896244089,12.764,0.0,0.0,1556.6,2598.308720425912,1262.24,0.0071427,3809.8378190496824,5.505545981285668,692.0,1.3188375452855567,288.19792027729636,534721.8288130744,89156.10399132871,7150.648149934621,0.043262820599335276,628.9985258710881,0.38188111856343837,1647.1055920158,94988.0,4270.616632392812,0.06561729086936088,414.71582001616423,0.3108814242999732,1334.0,213901.3409065097,0.0,0.0,0.0,1.1133012379789673e-05,0.7541190076891773,0.0,9.245218481896175e-06,0.0,0.02578692157205895,0.16866430272385216,0.05132296183109434,0.0,0.0,7.648173479257915e-05,0.0,0.0,0.0,0.0,0.0,0.7898338116758409,0.0,0.0,0.0,0.0,0.20984654112029202,0.0003075457823575873,0.0,0.0,6.333699231613613e-07,0.0,0.0,0.0,0.0,0.0037098127039202665,0.6532888406976661,0.0,1.8390285144321653e-06,0.0,0.2958614960561021,0.014090905846469243,0.033028941315265896,0.0,0.0,2.665023825412179e-06,7.757496017886877e-06
8,HYPULSE_RST_M8_condition_builder_8,HYPULSE_RST_M8_driver_condition,175,CEAGas,n2-o2-with-ions,18329.807108324374,2675.9307356896998,7521399.99993,840000.0,3878.504866551027,124698.16850613269,11666495.11647658,1333100.0,3001.0110885631666,1.5312549320717153,2303.1452950805246,2.2415039368180287,1027.5,1.1866542860101859,290.0983915425142,6163049.99993,3510820.0,1333100.0000000002,1385.67,3.3281,2303.1240008931545,2.9953492013176675,768.9,11501649.879318524,4861.725139500041,7.6057,0.0,0.0,1355.5,24184420.42046295,5718.503447725319,14.63,0.0,0.0,1517.9,2981.003799959058,1075.07,0.0096215,3655.517243651676,5.697501938359844,641.6,1.3294059151952633,288.19792027729636,769214.3985608127,110003.58369664285,6648.164910767828,0.05741352442286898,612.5895351549822,0.3839488171806515,1595.4979094694102,117510.0,4027.6180693706374,0.08807886008649105,399.31896399723024,0.3152435177999765,1266.7,291517.27442846744,0.0,0.0,0.0,3.34989134485639e-06,0.7629796504529974,0.0,8.891442807546896e-06,0.0,0.013199602010075378,0.1801500971911447,0.043568280882887146,0.0,0.0,8.58917318581474e-05,0.0,0.0,0.0,0.0,0.0,0.7899573953893495,0.0,0.0,0.0,0.0,0.20996374864057404,6.748469977771187e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014744393040473488,0.6650199904331499,0.0,2.6344483877417485e-06,0.0,0.2584769428853582,0.03190957160893534,0.04308208330972702,0.0,0.0,6.309167382160829e-06,3.486999742321016e-06
9,HYPULSE_RST_M8_condition_builder_9,HYPULSE_RST_M8_driver_condition,175,CEAGas,n2-o2-with-ions,26366.508987303554,2536.217255130494,6751949.99993,651200.0,3674.7652986088783,153021.876409023,14482005.013656432,1714600.0,2797.517682191975,2.120765676998274,2169.256268738867,2.1760018745499723,996.9,1.2150451338185888,288.9993048314216,5501679.99993,3148860.0,1714600.000000001,1502.39,3.948,2169.2380983278604,2.7139223049266366,799.3,14309682.646959865,4607.302725937376,10.206,0.0,0.0,1302.1,26088791.889864475,5436.396545371851,16.601,0.0,0.0,1481.2,3403.4310019386526,910.71,0.012967,3493.0664857325146,5.886529298504406,593.4,1.3419115069357845,288.19792027729636,1107691.010747928,134634.9285411433,6145.11716482626,0.07602155241778537,595.8214315656277,0.3865240130788021,1541.486198540931,143960.0,3841.564307929811,0.11614480678338715,389.98380017945203,0.32198134096718295,1211.2,392977.5561382397,0.0,0.0,0.0,0.0,0.7705336696009766,0.0,7.925137232805002e-06,0.0,0.005646683875645337,0.18928672637723915,0.034423018652873914,0.0,0.0,9.210927606481835e-05,0.0,0.0,0.0,0.0,0.0,0.7899882913177266,0.0,0.0,0.0,0.0,0.20999079652986988,1.0656946420894417e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006679700571869177,0.6800025701985478,0.0,3.408320920277737e-06,0.0,0.21288428941085294,0.055816691875945346,0.05060714388074425,0.0,0.0,1.164104596189586e-05,1.6968123105379758e-06
11,HYPULSE_RST_M8_condition_builder_11,HYPULSE_RST_M8_driver_condition,175,CEAGas,n2-o2-with-ions,54555.947811685146,2248.1427282059976,5313789.99993,356780.0,3259.996932492422,224690.04510446364,21863854.93046955,2765200.0,2346.3200859115614,4.088466223106345,1899.0110038560015,2.0578792846293905,922.8,1.257133841973119,288.2578699209541,4269249.99993,2466130.0,2765199.9999999967,1749.08,5.4691,1899.0248969058046,2.2089390449061352,859.7,21754895.512112655,4045.9135564427024,18.28,0.0,0.0,1199.3,29575308.34196849,4945.837746491221,20.686,0.0,0.0,1415.3,4376.919883785478,643.21,0.023612,3148.650620582523,6.249802740338474,503.8,1.3693888131902012,288.19792027729636,2305014.5238790396,196908.8256059045,5136.658309796768,0.13301286932154044,558.9278863332662,0.3925605291627019,1423.8005219867919,210120.0,3517.8282081131388,0.19500596811637552,381.2495544178751,0.3395827508843637,1122.7,703034.8789900192,0.0,0.0,0.0,0.0,0.7813705683708512,0.0,4.900612167369493e-06,0.0,0.0005513376801630062,0.20117641661562308,0.016807827075161385,0.0,0.0,9.21455625957766e-05,0.0,0.0,0.0,0.0,0.0,0.7899882913177266,0.0,0.0,0.0,0.0,0.20999981249296848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001404740716942606,0.7150642656728566,0.0,4.574452545623091e-06,0.0,0.1181004478292936,0.11036552933234996,0.05628999886689707,0.0,0.0,2.540940278879699e-05,0.0
12,HYPULSE_RST_M8_condition_builder_12,HYPULSE_RST_M8_driver_condition,175,CEAGas,n2-o2-with-ions,78475.99703514607,2102.2753595473264,4652089.99993,243610.0,3050.2753973797185,268564.79399175465,26493675.02038065,3465100.0000000005,2119.2200225058036,5.673532151359124,1763.8567065097798,2.0018802706954713,881.1,1.2706586752275588,288.19792027729636,3708109.99993,2152520.0,3465100.000000002,1877.87,6.3833,1763.86502267054,1.982984848421068,889.5,26463421.640978515,3726.5637789937005,24.394,0.0,0.0,1147.9,31092745.193639867,4739.363796701161,22.695,0.0,0.0,1386.6,4923.048867567689,536.02,0.031869,2969.336317622394,6.427134886628558,462.0,1.3814654228127012,288.19792027729636,3329338.180568838,235186.86180781756,4622.2867923042295,0.17654902629373018,535.9896126749727,0.39510497518662563,1356.5752049105456,250070.0,3341.6370311290484,0.24980521565143568,378.8142647844039,0.34971774813922074,1083.2,937485.4280395093,0.0,0.0,0.0,0.0,0.7847977753503682,0.0,3.3834485649629202e-06,0.0,0.00012195532644974187,0.2047074421540808,0.010283895607893064,0.0,0.0,8.616966449663627e-05,0.0,0.0,0.0,0.0,0.0,0.7899882913177266,0.0,0.0,0.0,0.0,0.20999981249296848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.452041308802216e-05,0.7329759686435777,0.0,4.779597560255199e-06,0.0,0.07590583271872696,0.1370627992299711,0.053958625912731074,0.0,0.0,3.2471277673321674e-05,0.0
13,HYPULSE_RST_M8_condition_builder_13,HYPULSE_RST_M8_driver_condition,175,CEAGas,n2-o2-with-ions,112883.78916846884,1956.7526193532826,4035209.99993,148830.0,2840.848464783013,318295.883201246,31809915.303736497,4301700.0,1900.1259667767856,7.855685384602569,1629.5264398167587,1.9447743642639441,837.9,1.2821189684062662,288.18793109424286,3188589.99993,1860900.0,4301699.999999996,2009.32,7.4061,1629.5270530738078,1.773731417300324,918.7,31810765.684562046,3384.4554341084395,32.484,0.0,0.0,1095.0,32427915.382177725,4559.219100597069,24.605,0.0,0.0,1361.0,5513.877725751859,444.42,0.043051,2787.970588080154,6.606565374597521,422.0,1.3903523072636335,288.19792027729636,4818923.266047243,279073.2097483167,4104.418230334865,0.23592594159339214,508.7274644861653,0.39669025168501165,1282.429962231882,295050.0,3137.839870013434,0.3194990608968358,375.66596111590445,0.3595233621551387,1044.9,1253445.4424520521,0.0,0.0,0.0,0.0,0.7871319539934459,0.0,2.1245859409080996e-06,0.0,2.0710385076940387e-05,0.20706778566696252,0.005692971959034995,0.0,0.0,7.695397745921683e-05,0.0,0.0,0.0,0.0,0.0,0.7899882913177266,0.0,0.0,0.0,0.0,0.20999981249296848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6408173916768403e-05,0.7496612035668644,0.0,4.5905135051621345e-06,0.0,0.04153376326612248,0.16091883195619835,0.04783786016843242,0.0,0.0,3.825416169805783e-05,0.0
14,HYPULSE_RST_M8_condition_builder_14,HYPULSE_RST_M8_driver_condition,175,CEAGas,n2-o2-with-ions,162377.67391887208,1812.5597148947668,3464729.99993,69336.0,2632.386749674143,373275.8209630498,37734731.1575184,5289100.0,1692.4256874108355,10.84421501490621,1496.688502040753,1.8847607379936444,794.1,1.2928405617611027,288.18793109424286,2712839.99993,1592800.0,5289099.999999999,2142.66,8.5393,1496.6904177144459,1.5797872257910555,947.4,37732253.33354417,3031.757337069004,43.136,0.0,0.0,1039.9,33579941.5103356,4405.85858111873,26.366,0.0,0.0,1338.8,6130.706583532402,366.56,0.058034,2605.914043095052,6.7862344872266975,384.0,1.3958207623676284,288.19792027729636,6974019.625408266,327967.8582020946,3595.196203912314,0.31653216241158333,477.7677803366714,0.39727872825341776,1202.60096088485,344330.0,2894.463974633047,0.40911690280482066,369.6537946493182,0.36748562943564783,1005.9,1680986.3234664008,0.0,0.0,0.0,0.0,0.7885738139604618,0.0,1.1991314867493092e-06,0.0,2.58857272772729e-06,0.20852842231583688,0.0028091315299222487,0.0,0.0,6.539614350458098e-05,0.0,0.0,0.0,0.0,0.0,0.7899882913177266,0.0,0.0,0.0,0.0,0.20999981249296848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2371297878872256e-06,0.7638907708453813,0.0,3.933585043441908e-06,0.0,0.017785241384051905,0.18014001962573598,0.03811948863731042,0.0,0.0,4.129598739281173e-05,0.0
