#Output of PITOT3 condition builder version 15-Dec-2023
test_number,test_name,driver_condition,area_ratio,test_gas_gas_model,test_gas_name,p1,vs1,Ht,h,Ue,pitot_p,total_p,p2,T2,rho2,v2,M2,a2,gamma2,R2,Ht2,h2,p3,T3,rho3,v3,M3,a3,p5,T5,rho5,v5,M5,a5,p5d,T5d,rho5d,v5d,M5d,a5d,p8,T8,rho8,v8,M8,a8,gamma8,R8,unit_Re8,p10f,T10f,rho10f,v10f,M10f,a10f,p10e,T10e,rho10e,v10e,M10e,a10e,unit_Re10e,s2 Xe-,s2 XN-,s2 XO2+,s2 XN,s2 XN2,s2 XO+,s2 XN2O,s2 XN2+,s2 XO,s2 XO2,s2 XNO,s2 XO-,s2 XN+,s2 XNO2,s2 XNO+,s8 Xe-,s8 XN-,s8 XO2+,s8 XN,s8 XN2,s8 XO+,s8 XN2O,s8 XN2+,s8 XO,s8 XO2,s8 XNO,s8 XO-,s8 XN+,s8 XNO2,s8 XNO+,s10e Xe-,s10e XN-,s10e XO2+,s10e XN,s10e XN2,s10e XO+,s10e XN2O,s10e XN2+,s10e XO,s10e XO2,s10e XNO,s10e XO-,s10e XN+,s10e XNO2,s10e XNO+
9,HYPULSE_RST_M8_condition_builder_9,HYPULSE_RST_M8_driver_condition,175,CEAGas,n2-o2-with-ions,3268.0275894101255,3283.1259190911123,11494499.99993,2201120.0,4794.684556867115,42116.32727642136,3893119.5987048345,366320.0,3609.061388307765,0.3324025554613077,2907.475593817584,2.5557978145372577,1137.6,1.0981140455761513,305.35495244041283,9545609.99993,5318900.0,366319.9999999998,907.56,1.3963,2907.468328090728,4.638590185211755,626.8,3808665.9207470203,6111.429238769527,1.8092,0.0,0.0,1596.6,15054682.018576376,7328.448485710681,7.1065,0.0,0.0,1716.4,1415.8235200399731,2117.38,0.0023133,4311.230908090853,4.980051874888359,865.7,1.2954760064051887,289.0495393707631,138111.51292305285,38869.60402579166,7494.458516921924,0.017943104015060222,555.8296934825311,0.344038008786546,1615.6054833679395,39695.0,5239.032790537799,0.02108512383060981,472.9955839864817,0.32037089134819946,1476.4,65734.05259482315,0.0,0.0,0.0,0.00016162595679210663,0.7149247888510498,0.0,6.608536107677766e-06,0.0,0.11225406021475806,0.11145588022050827,0.06115025354844515,0.0,0.0,3.506084059514623e-05,0.0,0.0,0.0,0.0,0.0,0.7825882292045949,0.0,0.0,0.0,0.005908732358713451,0.20135356169606358,0.010139518464578869,0.0,0.0,1.707811479062286e-06,0.0,0.0,0.0,0.0,0.06934940978246125,0.5942052225006604,0.0,0.0,0.0,0.32646049976874136,0.0004905006100228759,0.009310380622606737,0.0,0.0,0.0,8.27338910359101e-05
10,HYPULSE_RST_M8_condition_builder_10,HYPULSE_RST_M8_driver_condition,175,CEAGas,n2-o2-with-ions,3727.593720314938,3239.9604846354496,11182299.99993,2074469.9999999998,4729.122540161124,46068.61804876532,4254789.501701305,406260.0,3579.804397901826,0.3736720882107683,2863.812599420178,2.533898955423976,1130.2,1.1010832515357714,303.7042042590496,9278629.99993,5177930.0,406260.0,939.27,1.4963,2863.793575812129,4.493634984798571,637.3,4165988.2405977715,6023.24671762782,2.021,0.0,0.0,1583.7,15707170.137909546,7192.46535232362,7.5547,0.0,0.0,1700.1,1521.9559264078841,2039.99,0.0025845,4267.963095500182,4.989435463526049,855.4,1.2963946680779044,288.6681942853175,156781.9463914978,42074.06366820951,7817.221658371777,0.018645030478429796,591.6061225195399,0.3551678394158082,1665.7085942596411,43410.0,5182.742317949867,0.02344658254895261,470.45451495075,0.32045127372164706,1468.1,73439.0853549948,0.0,0.0,0.0,0.00013488841225984706,0.7188497690391027,0.0,6.994033281227279e-06,0.0,0.10204303880145506,0.11749451260672275,0.06142971039222025,0.0,0.0,3.8609451848148594e-05,0.0,0.0,0.0,0.0,0.0,0.7845063076956029,0.0,0.0,0.0,0.0033065283760641026,0.20380686963261124,0.008386592416208705,0.0,0.0,1.660670082924868e-06,0.0,0.0,0.0,0.0,0.059103514746514166,0.602617229611543,0.0,0.0,0.0,0.3272733196244859,0.0006130210273510257,0.010255207274520848,0.0,0.0,0.0,7.338180594141656e-05
11,HYPULSE_RST_M8_condition_builder_11,HYPULSE_RST_M8_driver_condition,175,CEAGas,n2-o2-with-ions,4251.78630338289,3196.2831443997193,10868999.99993,1949420.0,4662.40281398551,50341.30819182711,4644060.4587256415,450220.0,3548.492992807568,0.419963505599518,2819.674994583111,2.51151242057817,1122.7,1.1045784528699019,302.11511209621744,9012479.99993,5037200.0,450219.9999999999,971.78,1.6027,2819.654222240834,4.351989847570357,647.9,4551865.777758702,5929.866334875154,2.258,0.0,0.0,1569.6,16370929.867002586,7058.262219094804,8.0236,0.0,0.0,1684.0,1628.5533024605572,1956.41,0.002886,4223.664704437516,5.010872825290682,842.9,1.2977078567116067,288.4378685908555,178334.15755218093,45557.16339666081,8031.160696980728,0.01966645494396248,619.8022933216881,0.364062005707713,1702.4635463314346,47416.0,5118.139446135212,0.026082538680987418,467.3431710806614,0.32022966361563754,1459.4,82084.15041755335,0.0,0.0,0.0,0.00011131045649581985,0.7227683787044772,0.0,7.370981805293006e-06,0.0,0.09208183881895572,0.1234965183069365,0.061483172921505964,0.0,0.0,4.2335398376281094e-05,0.0,0.0,0.0,0.0,0.0,0.7859868341579387,0.0,0.0,0.0,0.0016879877457904673,0.2056271722689601,0.0066966477082993124,0.0,0.0,1.5853657758311508e-06,0.0,0.0,0.0,0.0,0.049320896356743554,0.6106241502281051,0.0,0.0,0.0,0.327796814880558,0.0007812315180569272,0.011358858365465688,0.0,0.0,0.0,6.390488851339688e-05
12,HYPULSE_RST_M8_condition_builder_12,HYPULSE_RST_M8_driver_condition,175,CEAGas,n2-o2-with-ions,4849.6934285282005,3152.098163016959,10555799.99993,1826850.0,4594.736118631841,54924.45292923884,5063317.398453016,498560.0,3514.9112160544037,0.47187835227852437,2775.0781714030377,2.488636150482502,1115.1,1.1086358398605511,300.58602364339686,8747309.99993,4896790.0,498560.0000000002,1005.1,1.7159,2775.072303048675,4.213592929014083,658.6,4968243.279890562,5832.493405939797,2.5231,0.0,0.0,1554.1,17045918.22022677,6926.064398042207,8.5139,0.0,0.0,1668.0,1735.3474109628028,1868.93,0.0032206,4178.242718226626,5.046186857761625,828.0,1.2993875351095783,288.30784701272586,203131.5344300803,49371.63754602784,8121.827462466906,0.021084694355165048,638.2095359355479,0.3703559950417154,1723.2326315216326,51722.0,5044.269261168818,0.029028935635240664,463.5529413618857,0.3196035172103459,1450.4,91790.23532278764,0.0,0.0,0.0,9.068270606209885e-05,0.7267117226041824,0.0,7.733400397157192e-06,0.0,0.08242595572333963,0.12943240152755728,0.06129629885256664,0.0,0.0,4.622201771527318e-05,0.0,0.0,0.0,0.0,0.0,0.7871031088693268,0.0,0.0,0.0,0.0007873161999824993,0.20693659730989913,0.005166609865993914,0.0,0.0,1.4877891252132897e-06,0.0,0.0,0.0,0.0,0.040150088814638704,0.6181241541547974,0.0,5.43378835247928e-07,0.0,0.32792527907296526,0.0010183206151480682,0.012659838566158215,0.0,0.0,0.0,5.446622890589506e-05
13,HYPULSE_RST_M8_condition_builder_13,HYPULSE_RST_M8_driver_condition,175,CEAGas,n2-o2-with-ions,5531.681197617228,3107.4113260220015,10243399.99993,1707870.0,4526.234638179952,59849.65037926865,5514909.472722944,551670.0,3478.851672522449,0.5301259793616786,2730.0502191629826,2.465279229874465,1107.4,1.113293847566919,299.1368951250225,8483399.99993,4756810.0,551670.0,1039.22,1.8364,2730.045178083978,4.078955891355115,669.3,5417314.899555262,5732.513902295599,2.8192,0.0,0.0,1537.3,17732192.235213973,6795.921626445001,9.0263,0.0,0.0,1652.2,1843.2347325793053,1780.11,0.0035923,4131.729063169839,5.093354367812918,811.2,1.3013268862467784,288.237883935381,231597.83284636526,53556.950077554066,8107.250115428301,0.022918764643089333,647.6246564624554,0.3743904728937457,1729.8107279729184,56355.0,4960.494585648324,0.03233688299532399,458.99322812811835,0.31854620593248545,1440.9,102729.86097470246,0.0,0.0,0.0,7.280790978603099e-05,0.7306092173745422,0.0,8.075256857096117e-06,0.0,0.07312617566908759,0.1352711773566509,0.06085126490946841,0.0,0.0,5.0245539663735856e-05,0.0,0.0,0.0,0.0,0.0,0.7879428844767148,0.0,0.0,0.0,0.0003376911509181594,0.20787026826005975,0.0038619825902066573,0.0,0.0,1.3756015998087185e-06,0.0,0.0,0.0,0.0,0.03176654501060207,0.6250242184097611,0.0,6.353010715064709e-07,0.0,0.32754972311461683,0.0013623252121954576,0.014212487460882954,0.0,0.0,0.0,4.52907097051381e-05
14,HYPULSE_RST_M8_condition_builder_14,HYPULSE_RST_M8_driver_condition,175,CEAGas,n2-o2-with-ions,6309.57344480193,3062.1807956692674,9931719.99993,1592720.0,4456.841931217665,65155.021853216465,6002400.526681905,609960.0,3440.0443471204144,0.5954904513265233,2684.5777669290237,2.441635076788562,1099.5,1.1185875572422284,297.75497779687726,8220669.99993,4617180.0,609960.0000000001,1074.15,1.9644,2684.6034698548656,3.9473657842300627,680.1,5901486.751284066,5631.426936785745,3.1497,0.0,0.0,1519.2,18426534.287981637,6667.840838412101,9.5599,0.0,0.0,1636.6,1952.8767878084452,1691.52,0.0040058,4083.8724450475706,5.149252862246338,793.1,1.3035207813414609,288.21790072102056,264236.98923247174,58117.071246322004,8019.283109715413,0.025144744312967034,650.5814869652145,0.37687095729196807,1726.271219305441,61342.0,4865.900382913976,0.036070355195504826,453.53521338238113,0.31702447461371536,1430.6,115116.29188918133,0.0,0.0,0.0,5.748994324144873e-05,0.7344984685900319,0.0,8.388721644612475e-06,0.0,0.06423109916621873,0.14101276172856483,0.06013606833277233,0.0,0.0,5.43797373792264e-05,0.0,0.0,0.0,0.0,0.0,0.7885330077748505,0.0,0.0,0.0,0.00013340897283648136,0.20851575434078776,0.0027991292437204436,0.0,0.0,1.2547379769810132e-06,0.0,0.0,0.0,0.0,0.024305146822592043,0.6312204587804408,0.0,7.473292769376181e-07,0.0,0.3264556483368126,0.001877993549758116,0.016087491876651747,0.0,0.0,0.0,3.658066486990137e-05
15,HYPULSE_RST_M8_condition_builder_15,HYPULSE_RST_M8_driver_condition,175,CEAGas,n2-o2-with-ions,7196.856730011521,3016.4708611793662,9623499.99993,1482590.0,4387.140298629621,70834.73898448821,6529750.486867988,673880.0,3398.346101124587,0.6688732381494583,2638.7452541289226,2.4175403152807355,1091.5,1.1245608111230865,296.4597447051273,7959699.99993,4478210.0,673880.0000000001,1109.88,2.1004,2638.7554428213684,3.81874883186884,691.0,6423765.907665833,5530.796764919865,3.5179,0.0,0.0,1500.0,19128718.925340317,6541.91808263071,10.115,0.0,0.0,1621.1,2065.5728658900603,1605.0,0.0044655,4035.07494621543,5.211255257930299,774.3,1.3059419150774412,288.19792027729636,301521.5644894493,63068.9511466891,7888.64938309012,0.027740999989536,649.5373573983172,0.37841039432644646,1716.4892062610081,66714.0,4761.711629388721,0.04029151066969102,447.20654234191755,0.3151561256814077,1419.0,129138.01456550563,0.0,0.0,0.0,4.456580222322175e-05,0.7383482383430787,0.0,8.666879771339246e-06,0.0,0.05580486830756154,0.14660719839493982,0.05913885883203748,0.0,0.0,5.858657634413277e-05,0.0,0.0,0.0,0.0,0.0,0.7889996216096583,0.0,0.0,0.0,4.895667962548596e-05,0.20898100866282487,0.0019738041598208363,0.0,0.0,1.1316000260838378e-06,0.0,0.0,0.0,0.0,0.017974178000528317,0.6365733788115687,0.0,8.840694138977753e-07,0.0,0.3243798236183857,0.0026648314374289037,0.018347961747777954,0.0,0.0,0.0,2.8681516314344413e-05
16,HYPULSE_RST_M8_condition_builder_16,HYPULSE_RST_M8_driver_condition,175,CEAGas,n2-o2-with-ions,8208.914159638254,2970.1933120830454,9317389.99993,1377170.0,4316.802057062612,76956.44297361055,7099118.490175285,743850.0,3353.435238263369,0.7512691344273689,2592.4852774258607,2.3931369679921173,1083.3,1.1312474591504318,295.2595880681818,7700179.99993,4339700.0,743850.0000000002,1146.39,2.2447,2592.4893164875457,3.6935308683395722,701.9,6986391.062658138,5431.372218863683,3.9274,0.0,0.0,1480.0,19834301.230615284,6417.680457146801,10.691,0.0,0.0,1605.8,2181.562915246723,1520.88,0.0049772,3985.02715197668,5.276085200551676,755.3,1.308562396737767,288.19792027729636,344124.03735132515,68403.54843350094,7733.3418461025185,0.030691674284364954,646.2382432525966,0.3794580141255039,1703.0559882676675,72494.0,4649.06941023227,0.045073810837888216,440.039942754208,0.3131733988714028,1405.1,145051.02487069133,0.0,0.0,0.0,3.381604517837892e-05,0.7421134171503637,0.0,8.89917115021085e-06,0.0,0.04788611572933985,0.1520433016238109,0.057843897074261574,0.0,0.0,6.281989762093663e-05,0.0,0.0,0.0,0.0,0.0,0.7893085808934296,0.0,0.0,0.0,1.6614797117391903e-05,0.20931459929747367,0.0013521169028964113,0.0,0.0,1.0088767647346513e-06,0.0,0.0,0.0,0.0,0.012839684950773558,0.6411520393811533,0.0,1.0509632743201979e-06,0.0,0.3210161506056477,0.0038870444141655305,0.021067926254994818,0.0,0.0,7.023880405603677e-07,2.180762070581379e-05
17,HYPULSE_RST_M8_condition_builder_17,HYPULSE_RST_M8_driver_condition,175,CEAGas,n2-o2-with-ions,9363.292088239417,2923.4079342397445,9015169.99993,1277000.0,4246.214784941996,83537.66470438127,7713918.465252539,820390.0000000001,3305.1790107410648,0.8438353956214881,2545.8890908171106,2.3682689216903356,1075.0,1.138662956495473,294.1523384985495,7442659.99993,4201900.0,820389.9999999998,1183.69,2.3976,2545.885901334749,3.571669334083543,712.8,7592861.083259063,5333.933794620197,4.3823,0.0,0.0,1459.5,20549490.341473486,6297.289830413494,11.289,0.0,0.0,1590.9,2301.489771041961,1439.9,0.0055461,3934.0001445448606,5.343656811389378,736.2,1.3113626542019396,288.19792027729636,392670.76167411,74133.30811538803,7565.6933212100075,0.03399959978942075,641.7212804320352,0.38026145279645984,1687.5791004131183,78701.0,4532.299957652772,0.05046407307869049,432.35428435667654,0.31151688475875533,1387.9,163006.03811475722,0.0,0.0,0.0,2.5061967058621942e-05,0.7458149992503587,0.0,9.079096126581357e-06,0.0,0.040538497443654134,0.157279688613323,0.05624732504390774,0.0,0.0,6.703770766538784e-05,0.0,0.0,0.0,0.0,0.0,0.7895351510348619,0.0,0.0,0.0,5.227455404577672e-06,0.20953999837493908,0.0009007446485881205,0.0,0.0,8.898533870950214e-07,0.0,0.0,0.0,0.0,0.008933100794619718,0.6450418831701971,0.0,1.2509499918205614e-06,0.0,0.315958175306574,0.005762865079315474,0.024254720206891265,0.0,0.0,1.0570048689830561e-06,1.6183798941951788e-05
18,HYPULSE_RST_M8_condition_builder_18,HYPULSE_RST_M8_driver_condition,175,CEAGas,n2-o2-with-ions,10680.004325145756,2876.0869882934467,8715499.99993,1181600.0,4175.044909921329,90551.96211786033,8376103.545332801,903980.0,3253.363420952018,0.9478721674039614,2498.959286829197,2.343579937005718,1066.3,1.1468128939342153,293.1360174869553,7187229.99993,4064820.0,903979.9999999997,1221.74,2.5596,2498.9584901609137,3.4530309384564233,723.7,8246263.829385134,5238.580145709172,4.8871,0.0,0.0,1438.8,21259914.523300964,6177.667449469384,11.905,0.0,0.0,1576.0,2425.1507281194154,1361.88,0.006179,3881.72783172581,5.41233663096181,717.2,1.3143855857341071,288.19792027729636,448028.3230080093,80260.02857491608,7390.922112115153,0.03767990871315578,636.5379351858863,0.3809697038978278,1670.8361023809896,85347.0,4416.085341357654,0.05649821338476718,424.53017246560523,0.3106015309230357,1366.8,183176.99917698014,0.0,0.0,0.0,1.808737329992075e-05,0.7494538028229347,0.0,9.197574523774902e-06,0.0,0.03380406465242447,0.1623102128829831,0.054348555127124144,0.0,0.0,7.117279803501756e-05,0.0,0.0,0.0,0.0,0.0,0.78969992931954,0.0,0.0,0.0,0.0,0.20970228571071417,0.0005816804416435325,0.0,0.0,7.757213811392117e-07,0.0,0.0,0.0,0.0,0.006122702692282979,0.6485643277859882,0.0,1.4842228987930784e-06,0.0,0.3088648861832319,0.008556792442216585,0.02785387357903893,0.0,0.0,1.5901620197585072e-06,1.1825921452654924e-05
